件数,医療機関コード,医療機関名,住所,市町村,電話番号,医師名,診療科目,診療時間_午前,診療時間_午後,月,火,水,木,金,土,日,祝日,休診日_1,休診日_2,休診日_3,オンライン診療,夜間診療,特徴,MAP
43,01-25423 ,松永病院,〒770－0045徳島市南庄町４丁目６３番地１,徳島市,088-632-3328,松永　厚美,小児科,9:00~12:00,13:30~18:30,1,1,1,1,1,1,0,0,日・祝,0,0,1,0,地域の皆様へ向けた最新の情報はFacebookにて配信されています。,"https://www.google.com/maps/place/%E3%80%92770-0045+%E5%BE%B3%E5%B3%B6%E7%9C%8C%E5%BE%B3%E5%B3%B6%E5%B8%82%E5%8D%97%E5%BA%84%E7%94%BA%EF%BC%94%E4%B8%81%E7%9B%AE%EF%BC%96%EF%BC%93+%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA+%E5%BE%B3%E6%9D%BE%E4%BC%9A+%E6%9D%BE%E6%B0%B8%E7%97%85%E9%99%A2/@34.0721357,134.508905,17z/data=!3m1!4b1!4m6!3m5!1s0x35530cd4b8b8519d:0xfd25df3b11c33706!8m2!3d34.0721357!4d134.508905!16s%2Fg%2F12hlkbw5r?entry=ttu"
44,01-25472 ,天満病院,〒770－0042徳島市蔵本町一丁目５番地１,徳島市,088-632-1520,吉田　健三,小児科,9:00~12:00,13:30~18:00,1,1,1,1,1,1,0,0,日・祝,0,0,0,1,急な発病時は、休日・夜間を問わず診察していただけます。（※要連絡）,"https://www.google.com/maps/place/%E5%A4%A9%E6%BA%80%E7%97%85%E9%99%A2/@34.0778487,134.5200511,17z/data=!3m1!4b1!4m6!3m5!1s0x355372daeba82b6b:0x660af121c4ce669c!8m2!3d34.0778487!4d134.5200511!16s%2Fg%2F11c1vp48v4?entry=ttu"
45,01-25829 ,徳島クリニック,〒770－0942徳島市昭和町１丁目１６番地,徳島市,088-622-7712,小濱　貴良,小児科,8:30~12:30,14:00~18:00,1,1,1,1,1,1,0,0,日・祝,0,0,1,0,JR牟岐線 阿波富田駅 から徒歩5分,"https://www.google.com/maps/place/%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E5%B0%8F%E6%B5%9C%E5%86%85%E7%A7%91+%E5%BE%B3%E5%B3%B6%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.0778487,134.5200511,13z/data=!4m10!1m2!2m1!1z5b6z5bO244Kv44Oq44OL44OD44Kv44CA5b6z5bO2!3m6!1s0x35536d5ceb333ef1:0x27fff673e37a704e!8m2!3d34.064937!4d134.55821!15sCh7lvrPls7bjgq_jg6rjg4vjg4Pjgq_jgIDlvrPls7aSAQlpbnRlcm5pc3TgAQA!16s%2Fg%2F1tct_7h7?entry=ttu"
46,01-25951 ,城南公園内科,〒770－8064徳島市城南町３丁目５番２２号,徳島市,088-656-6661,宮本　泰文,小児科,9:00~12:30,14:30~19:00,1,1,1,1,1,1,0,0,日・祝,0,0,0,0,可能な限り休日の時間外診療をしていただけます。（※要相談）,"https://www.google.com/maps/place/%E5%9F%8E%E5%8D%97%E5%85%AC%E5%9C%92%E5%86%85%E7%A7%91/@34.0539483,134.5370693,17z/data=!3m1!4b1!4m6!3m5!1s0x35530d4ec2d7d0b1:0xbf71eb7b7d5efc37!8m2!3d34.0539483!4d134.5370693!16s%2Fg%2F1thhh9vt?entry=ttu"
47,01-25985 ,冨田内科胃腸科クリニック,〒770－0004徳島市南田宮１丁目３番５０号,徳島市,088-631-6711,冨田　作,小児科,9:00~12:30,14:30~18:30,1,1,1,1,1,1,0,0,日・祝,0,0,0,0,地域に寄り添った診療を心掛けておられます。,"https://www.google.com/maps/place/%E5%86%A8%E7%94%B0%E5%86%85%E7%A7%91%E8%83%83%E8%85%B8%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.0864097,134.5453593,17z/data=!3m1!4b1!4m6!3m5!1s0x3553728475253a45:0xb235804ef0ab468b!8m2!3d34.0864097!4d134.5453593!16s%2Fg%2F1tt8925q?entry=ttu"
48,01-26017 ,ふじおか小児クリニック,〒770－0942徳島市昭和町８丁目７０番地３,徳島市,088-622-0012,藤岡　智仁,小児科,8:30~12:30,14:00~18:00,1,1,1,1,1,1,0,0,日・祝,土（午後）,0,0,0,お子様の発達で気になることはありませんか？相談にのっていただけます。,"https://www.google.com/maps/place/%E3%81%B5%E3%81%98%E3%81%8A%E3%81%8B%E5%B0%8F%E5%85%90%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.0560056,134.5698608,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d38668a8b37:0x8d4d64e36f151053!8m2!3d34.0560056!4d134.5698608!16s%2Fg%2F1ths74zb?entry=ttu"
49,01-26041 ,文化の森内科,〒770－8079徳島市八万町大坪１８０番地,徳島市,088-668-1377,筒井　芳彦,小児科,9:00~13:00,15:00~21:00,1,1,1,1,1,1,1,1,0,0,0,0,0,年中無休で夜21:00まで診察していただけます。,"https://www.google.com/maps/place/%E6%96%87%E5%8C%96%E3%81%AE%E6%A3%AE%E5%86%85%E7%A7%91/@34.046069,134.528693,17z/data=!3m1!4b1!4m6!3m5!1s0x35530d3e29882805:0x2721def9cd4ea40b!8m2!3d34.046069!4d134.528693!16s%2Fg%2F1tcy6pyk?entry=ttu"
50,01-26058 ,河野内科循環器科,〒770－0863徳島市安宅一丁目４番３４号,徳島市,088-652-2445,河野　智彦,小児科,9:00~12:30,15:00~18:00,1,1,1,0,1,1,0,0,木,日,0,0,0,14:30～15:30は往診等により不在の場合があります。,"https://www.google.com/maps/place/%E6%B2%B3%E9%87%8E%E5%86%85%E7%A7%91%E5%BE%AA%E7%92%B0%E5%99%A8%E7%A7%91/@34.0705878,134.5704774,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d12949c2669:0x926cbeddcc166ede!8m2!3d34.0705878!4d134.5704774!16s%2Fg%2F1tj43qlx?entry=ttu"
51,01-26173 ,日下医院,〒771－0115徳島市川内町宮島浜１０４番地,徳島市,088-665-0351,日下　香苗,小児科,8:30~12:00,15:30~18:30,1,1,1,1,1,1,0,0,日・祝,0,0,0,0,とても親切で人柄の良い先生です。,"https://www.google.com/maps/place/%E6%97%A5%E4%B8%8B%E5%8C%BB%E9%99%A2/@34.0938772,134.5837969,17z/data=!3m1!4b1!4m6!3m5!1s0x35536dcb109a1d59:0x774b307c224cbac0!8m2!3d34.0938728!4d134.5863718!16s%2Fg%2F1td1b784?entry=ttu"
52,01-26231 ,鎌田耳鼻咽喉科クリニック,〒770－0047徳島市名東町１丁目１１７番地,徳島市,088-633-1233,鎌田　利彦,小児科,9:00~12:30,14:30~18:00,1,1,1,1,1,1,0,0,日・祝,木（午後）,0,0,0,土曜のみ16:30までです。,"https://www.google.com/maps/place/%E9%8E%8C%E7%94%B0%E8%80%B3%E9%BC%BB%E5%92%BD%E5%96%89%E7%A7%91%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.0667209,134.5010604,17z/data=!3m1!4b1!4m6!3m5!1s0x35530cd005929701:0x25b35e1ffc39ba9a!8m2!3d34.0667165!4d134.5036353!16s%2Fg%2F1tcvm2hz?entry=ttu"
53,01-26256 ,宮内クリニック,〒770－0047徳島市名東町二丁目６６０番地１,徳島市,088-633-5535,宮内　吉男,小児科,9:00~18:30,0,1,1,1,1,1,1,0,0,日・祝,木（午後）,0,0,0,子供からお年寄りまで丁寧な診療を心掛けています。,"https://www.google.com/maps/place/%E5%AE%AE%E5%86%85%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.0620044,134.4898831,17z/data=!3m1!4b1!4m6!3m5!1s0x35530c9567f39c63:0xc0f199665489a2a8!8m2!3d34.062!4d134.492458!16s%2Fg%2F1tpppspx?entry=ttu"
54,01-26306 ,金沢クリニック,〒770－0871徳島市金沢二丁目２番５５号,徳島市,088-664-6644,松本　多津子,小児科,9:00~12:30,14:00~18:30,1,1,1,1,1,1,0,0,日・祝,0,0,0,0,スタッフ一同、気軽に質問いただけるような雰囲気づくりをめざしています。,"https://www.google.com/maps/place/%E9%87%91%E6%B2%A2%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.0716278,134.5837276,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d0048f66d15:0xd5d021526a3990e3!8m2!3d34.0716234!4d134.5863025!16s%2Fg%2F1thsp69z?entry=ttu"
55,01-26330 ,横井内科クリニック,〒770－0939徳島市かちどき橋１丁目４０番地の１,徳島市,088-657-0188,横井　孝文,小児科,9:00~13:00,14:30~18:30,1,1,1,1,1,1,0,0,日・祝,0,0,0,0,質の高い在宅医療が提供できるように心掛けています。,"https://www.google.com/maps/place/%E6%A8%AA%E4%BA%95%E5%86%85%E7%A7%91%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.0640944,134.5535771,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d5b92e7f7e7:0x2452919877825cc3!8m2!3d34.06409!4d134.556152!16s%2Fg%2F1tghmf5v?entry=ttu"
56,01-26355 ,たかはし内科,〒779－3123徳島市国府町観音寺２２７番地の１,徳島市,088-643-0122,高橋　安毅,小児科,9:00~12:00,14:00~19:00,1,1,1,1,1,1,0,0,日・祝,木（午後）,0,0,0,点滴用の専用椅子を設定しています。,"https://www.google.com/maps/place/%E3%81%9F%E3%81%8B%E3%81%AF%E3%81%97%E5%86%85%E7%A7%91/@34.0711436,134.4704991,17z/data=!3m1!4b1!4m6!3m5!1s0x35530b607a287adb:0x60868acc6497c69f!8m2!3d34.0711392!4d134.473074!16s%2Fg%2F1v9txqlm?entry=ttu"
57,01-26363 ,おかがわ内科・小児科,〒770－0861徳島市住吉１丁目１０番１９号,徳島市,088-656-0022,岡川　和人,小児科,8:30~12:30,14:00~18:00,1,1,1,1,1,1,1,0,祝,木・日（午後）,0,0,0,総合的に判断し適切な医療を提供していただけます。,"https://www.google.com/maps/place/%E3%81%8A%E3%81%8B%E3%81%8C%E3%82%8F%E5%86%85%E7%A7%91%E3%83%BB%E5%B0%8F%E5%85%90%E7%A7%91/@34.0730313,134.5608489,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d3f07b5a27b:0x33b85b4d5891d001!8m2!3d34.0730269!4d134.5634238!16s%2Fg%2F11lgt_98tf?entry=ttu"
58,01-26421 ,岡部内科クリニック,〒771－0130徳島市川内町加賀須野４３７番地の３,徳島市,088-665-6008,岡部　達彦,小児科,9:00~12:00,15:30~18:00,1,1,1,1,1,1,0,0,日・祝,0,0,0,0,わかりやすく、正確で丁寧な診療を心掛けています。,"https://www.google.com/maps/place/%E5%B2%A1%E9%83%A8%E5%86%85%E7%A7%91%EF%BC%88%E5%B0%8F%E5%85%90%E7%A7%91%EF%BC%89%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.1260006,134.5736975,17z/data=!3m1!4b1!4m6!3m5!1s0x35536e6f21d0d4c7:0xc44a07dd83a11b3e!8m2!3d34.1259962!4d134.5762724!16s%2Fg%2F1tgw_vff?entry=ttu"
59,01-26439 ,徳島市夜間休日急病診療所,〒770－8053徳島市沖浜東２丁目１６番地,徳島市,088-622-3576,宇都宮　正登,小児科,9:00~22:30,19:30~22:30,1,1,1,1,1,1,1,1,0,0,0,0,1,平日以外は9:00~22:30まで診察していただけます。（※要連絡）,"https://www.google.com/maps/place/%E5%BE%B3%E5%B3%B6%E5%B8%82%E5%A4%9C%E9%96%93%E4%BC%91%E6%97%A5%E6%80%A5%E7%97%85%E8%A8%BA%E7%99%82%E6%89%80(%E3%81%B5%E3%82%8C%E3%81%82%E3%81%84%E5%81%A5%E5%BA%B7%E9%A4%A8+%E5%A4%9C%E9%96%93%E4%BC%91%E6%97%A5%E6%80%A5%E7%97%85%E8%A8%BA%E7%99%82%E6%89%80)/@34.0523294,134.5513941,17z/data=!3m2!4b1!5s0x355312ab4cf36201:0x8aec2bf6c58d83ff!4m6!3m5!1s0x355312ab4b4a5a61:0x8ea230f9bd9c11a7!8m2!3d34.052325!4d134.553969!16s%2Fg%2F1tgfb5d4?entry=ttu"
60,01-26512 ,立花耳鼻咽喉科医院,〒770－0861徳島市住吉６丁目１番７－３号,徳島市,088-626-3387,立花　文寿,小児科,8:30~12:30,2:45~18:30,1,1,1,1,1,1,0,0,日・祝,木（午後）,0,1,0,皆さんの症状を的確に診察、診療していただけます。何でもご相談くださいとのことです。,"https://www.google.com/maps/place/%E7%AB%8B%E8%8A%B1%E8%80%B3%E9%BC%BB%E5%92%BD%E5%96%89%E7%A7%91%E5%8C%BB%E9%99%A2/@34.0760543,134.5735754,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d09ac8473d1:0x8360b96d0eea5d6!8m2!3d34.0760499!4d134.5761503!16s%2Fg%2F1tk6n4dk?entry=ttu"
61,01-26561 ,米田内科クリニック,〒770－8082徳島市八万町川南５６番地の１,徳島市,088-668-8511,米田　賢治,小児科,8:45~12:00,14:00~18:30,1,1,1,1,1,1,0,0,日・祝,0,0,0,0,病院内は清潔感があり、気持ちよく診療を受けれます。,"https://www.google.com/maps/place/%E7%B1%B3%E7%94%B0%E5%86%85%E7%A7%91%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.0438044,134.5385121,17z/data=!3m2!4b1!5s0x35530d5cb6ea1f05:0xb9e120d30948b91b!4m6!3m5!1s0x35530d5cb67cfa55:0x57fbed2d9b1da4c8!8m2!3d34.0438!4d134.541087!16s%2Fg%2F1tdvs3w1?entry=ttu"
62,01-26595 ,田山チャイルドクリニック,〒770－0006徳島市北矢三町３丁目３番４１号,徳島市,088-633-2055,田山　正伸,小児科,9:00~12:00,14:30~18:00,1,1,1,1,1,1,0,0,日・祝,水（午後）,0,0,0,診療時間外でも診療していただける場合があります。（※要相談）,"https://www.google.com/maps/place/%E7%94%B0%E5%B1%B1%E3%83%81%E3%83%A3%E3%82%A4%E3%83%AB%E3%83%89%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.0885203,134.5176596,17z/data=!3m1!4b1!4m6!3m5!1s0x355372948bc3b94b:0x238f2d7b0d994a1f!8m2!3d34.0885159!4d134.5202345!16s%2Fg%2F1vzg01sh?entry=ttu"
63,01-26629 ,えもとこどもクリニック,〒770－0872徳島市北沖洲３丁目１番２４,徳島市,088-664-8580,榎本　新也,小児科,9:00~12:00,15:00~18:00,1,1,1,1,1,1,0,0,日・祝,水・土（午後）,0,0,0,理念：医学・医療の進歩に絶えず学び、クリニックとしてできる最良の医療を提供します,"https://www.google.com/maps/place/%E3%81%88%E3%82%82%E3%81%A8%E3%81%93%E3%81%A9%E3%82%82%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.0660373,134.5852405,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d027f8563d7:0x48861cca2f578bef!8m2!3d34.0660329!4d134.5878154!16s%2Fg%2F1vfn4g9h?entry=ttu"
64,01-26777 ,とくしま耳鼻咽喉科クリニック,〒771－1154徳島市応神町東貞方字北野９３番地１,徳島市,088-683-3987,棚本　洋文,小児科,8:45~13:00,14:30~18:00,1,1,0,1,1,1,0,0,日・祝,水・土（午後）,0,1,0,キッズスペースがあります。,"https://www.google.com/maps/place/%E3%81%A8%E3%81%8F%E3%81%97%E3%81%BE%E8%80%B3%E9%BC%BB%E5%92%BD%E5%96%89%E7%A7%91%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.1240628,134.5188295,17z/data=!3m1!4b1!4m6!3m5!1s0x14e1b53c14bf71a1:0x80d433e2ac08595b!8m2!3d34.1240584!4d134.5214044!16s%2Fg%2F11b5wqxt31?entry=ttu"
65,01-26827 ,祖川産婦人科クリニック,〒770－0003徳島市北田宮３丁目５番６５号,徳島市,088-633-1133,祖川　英至,小児科,9:00~12:30,14:00~18:00,1,1,1,1,1,1,0,0,日・祝,木（午後）,0,0,0,土曜日の午後は大学病院医師の診察になります。,"https://www.google.com/maps/place/%E7%A5%96%E5%B7%9D%E7%94%A3%E5%A9%A6%E4%BA%BA%E7%A7%91%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.0881496,134.5363417,17z/data=!3m1!4b1!4m6!3m5!1s0x355373009397706f:0xcea02147788925c3!8m2!3d34.0881452!4d134.5389166!16s%2Fg%2F11nx3jcz_g?entry=ttu"
66,01-26868 ,川口内科循環器クリニック,〒770－8055徳島市山城町西浜傍示１７３番地７,徳島市,088-652-2555,川口　隆,小児科,9:00~13:00,15:00~18:30,1,1,1,1,1,1,0,0,日・祝,水・土（午後）,0,0,0,医師は、男性1名・女性1名で担当、2診体制で診療していただけます。,"https://www.google.com/maps/place/%E2%80%8B%E5%B7%9D%E5%8F%A3%E5%86%85%E7%A7%91%E3%83%BB%E5%BE%AA%E7%92%B0%E5%99%A8%E7%A7%91%E3%83%BB%E8%83%83%E8%85%B8%E7%A7%91%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.052413,134.5564245,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d5262d047e3:0xc0685fbcd7ba059e!8m2!3d34.0524086!4d134.5589994!16s%2Fg%2F1tl49v_9?entry=ttu"
67,01-26884 ,愛育小児科,〒779－3114徳島市国府町桜間字登々路８番１,徳島市,088-643-1205,平岡　政弘,小児科,8:45~12:30,14:45~18:15,1,1,1,1,1,1,0,0,0,水・土（午後）,0,0,0,カルテのコピーをいただけます。,"https://www.google.com/maps/place/%E6%84%9B%E8%82%B2%E5%B0%8F%E5%85%90%E7%A7%91/@34.0840904,134.4631851,17z/data=!3m1!4b1!4m6!3m5!1s0x35530b501000939d:0x39d707f3341fd7d1!8m2!3d34.084086!4d134.46576!16s%2Fg%2F1tf7pz2x?entry=ttu"
68,01-26926 ,ひろクリニック,〒770－8076徳島市八万町内浜１５番地６,徳島市,088-667-1600,岩城　美津代,小児科,9:00~12:00,14:00~19:00,1,1,1,1,1,1,0,0,日・祝,0,0,0,0,"女性医師(常勤), マイナンバーカード保険証利用, 駐車場(無料)","https://www.google.com/maps/place/%E3%81%B2%E3%82%8D%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.0482588,134.5398614,17z/data=!3m1!4b1!4m6!3m5!1s0x35530d5a9b1bee05:0xa80fc63705dc357!8m2!3d34.0482544!4d134.5424363!16s%2Fg%2F1tj489bm?entry=ttu"
69,01-27056 ,ひろこ漢方内科クリニック,〒779－3123徳島市国府町観音寺２２４番地の１,徳島市,088-624-8167,高橋　浩子,小児科,9:00~12:00,13:00~16:00,1,1,1,1,1,1,0,0,日・祝,水・土（午後）,0,0,0,漢方（東洋医学）と西洋医学のいいところをいかした、元気になる、楽しい、わくわくするクリニックです！,"https://www.google.com/maps/place/%E3%81%B2%E3%82%8D%E3%81%93%E6%BC%A2%E6%96%B9%E5%86%85%E7%A7%91%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.0712334,134.470277,17z/data=!3m1!4b1!4m6!3m5!1s0x35530b607798aa1f:0xcf31858000356efd!8m2!3d34.071229!4d134.4728519!16s%2Fg%2F11b6vbt4k_?entry=ttu"
70,01-27114 ,おおしま内科皮フ科クリニック,〒770－0022徳島市佐古二番町５－２０,徳島市,088-622-1230,大島　康志,小児科,9:00~13:00,14:30~18:00,1,1,1,1,1,1,0,0,日・祝,0,0,0,0,内科と皮膚科の複合医療機関として、地域医療に貢献することを心掛けています。,"https://www.google.com/maps/place/%E3%81%8A%E3%81%8A%E3%81%97%E3%81%BE%E5%86%85%E7%A7%91%E7%9A%AE%E3%83%95%E7%A7%91%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.0774039,134.5364896,17z/data=!3m1!4b1!4m6!3m5!1s0x35537297da6bc105:0x7305930290ee3e38!8m2!3d34.0773995!4d134.5390645!16s%2Fg%2F11g68x6pmx?entry=ttu"
71,01-27155 ,ひなたクリニック,〒771－1151徳島市応神町古川字戎子野８１番地４,徳島市,088-678-5461,市岡　隆男,小児科,9:00~11:30,14:30~18:00,1,1,1,1,1,1,0,0,日・祝,木,火・土（午後）,0,0,離乳食相談、アレルギー食、食物経口免疫療法、ダニ・スギの減感作療法など、お気軽にご相談ください。,"https://www.google.com/maps/place/%E3%80%92771-1151+%E5%BE%B3%E5%B3%B6%E7%9C%8C%E5%BE%B3%E5%B3%B6%E5%B8%82%E5%BF%9C%E7%A5%9E%E7%94%BA%E5%8F%A4%E5%B7%9D%E6%88%8E%E5%AD%90%E9%87%8E+%E3%81%B2%E3%81%AA%E3%81%9F%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.10302,134.5538161,17z/data=!4m6!3m5!1s0x35536d8cf17c8223:0xa1993c55d7dce4ac!8m2!3d34.1030156!4d134.556391!16s%2Fg%2F11c4xd56d2?entry=ttu"
72,01-27189 ,山田こどもクリニック,〒770－0053徳島市南島田町四丁目５４番１,徳島市,088-634-0013,山田　進一,小児科,9:00~12:00,15:15~18:15,1,1,1,1,1,1,0,0,日・祝,木（午前）,土（午後）,1,0,こどもと子育てに関わる方々の学びの場、集いの場”Happy子育て応援スペースまんまるん”も併設しています。,"https://www.google.com/maps/place/%E5%B1%B1%E7%94%B0%E3%81%93%E3%81%A9%E3%82%82%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.0795251,134.5030057,17z/data=!3m1!4b1!4m6!3m5!1s0x35530cba5b5a9313:0x5fbcb0bb7af9271d!8m2!3d34.0795207!4d134.5055806!16s%2Fg%2F1tdvmkdx?entry=ttu"
73,01-27247 ,末広ひなたクリニック,〒770－0866徳島市末広２丁目１番１１１号,徳島市,088-624-8660,松岡　優,小児科,9:00~11:30,14:30~18:00,1,1,1,1,1,1,0,0,日・祝,0,0,0,0,児童発達支援センター「しろくま」も併設されています,"https://www.google.com/maps/place/%E6%9C%AB%E5%BA%83%E3%81%B2%E3%81%AA%E3%81%9F%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.0655456,134.5697556,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d146bd79f87:0xa887808c7058b4ec!8m2!3d34.0655412!4d134.5723305!16s%2Fg%2F11hbl81gx2?entry=ttu"
74,01-27338 ,みなとクリニック,〒770－8003徳島市津田本町一丁目１番２６号,徳島市,088-663-3710,湊　義彰,小児科,9:00~12:45,14:45~18:30,1,1,1,1,1,1,0,0,日・祝,土（午後）,0,0,0,CTなど最新の医療機器が導入されています。,"https://www.google.com/maps/place/%E3%81%BF%E3%81%AA%E3%81%A8%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.0519125,134.5735441,17z/data=!4m10!1m2!2m1!1z44G_44Gq44Go44Kv44Oq44OL44OD44Kv44CA5b6z5bO2!3m6!1s0x35536d25528de339:0xb3c47b7e8184b62e!8m2!3d34.0519125!4d134.577664!15sCiHjgb_jgarjgajjgq_jg6rjg4vjg4Pjgq_jgIDlvrPls7aSAQ5tZWRpY2FsX2NsaW5pY-ABAA!16s%2Fg%2F1v_vqr3t?entry=ttu"
75,01-27403 ,こかわ医院,〒770－0831徳島市寺島本町西１丁目１５番地,徳島市,088-622-2125,古川　浩,小児科,9:00~13:00,14:30~18:00,1,1,1,1,1,1,0,0,日・祝,水（午後）,0,0,0,15台の駐車場があります。,"https://www.google.com/maps/place/%E3%81%93%E3%81%8B%E3%82%8F%E5%8C%BB%E9%99%A2/@34.0745627,134.5461104,17z/data=!3m1!4b1!4m6!3m5!1s0x3553729fb2aa9abb:0xf70c29215c69de83!8m2!3d34.0745583!4d134.5486853!16s%2Fg%2F11f11gkkx1?entry=ttu"
76,01-27445 ,名東クリニック,〒770－0047徳島市名東町１丁目９１番地,徳島市,088-624-7236,中間　昌博,小児科,9:00~12:00,0,1,1,1,1,1,0,0,0,日・祝,全曜日の午後,0,0,0,LINE予約できます。,"https://www.google.com/maps/place/%E5%90%8D%E6%9D%B1%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.0653507,134.5029297,17z/data=!3m1!4b1!4m6!3m5!1s0x35530cd07bdd28bb:0x50965f0f638de608!8m2!3d34.0653463!4d134.5055046!16s%2Fg%2F11cs6chwfm?entry=ttu"
77,01-27502 ,林病院,〒770－8012徳島市大原町千代ケ丸山３０番２０,徳島市,088-663-1188,林　健司,小児科,9:00~12:30,14:30~17:30,1,1,1,1,1,1,0,0,日・祝,土（午後）,0,0,0,最新の医療機器（ＭＲＩ、ＣＴなど）があります。,"https://www.google.com/maps/place/%E6%9E%97%E7%97%85%E9%99%A2/@34.02243,134.5645177,17z/data=!3m1!4b1!4m6!3m5!1s0x355312eaeffc8c77:0xb4b2e142c029edaf!8m2!3d34.0224256!4d134.5670926!16s%2Fg%2F1tgnzmk1?entry=ttu"
78,01-27650 ,かさまつ在宅クリニック,〒770－8054徳島市山城西４丁目１３－３,徳島市,088-679-6393,笠松　哲司,小児科,9:00~12:00,13:00~17:00,1,1,1,1,1,0,0,0,日・祝,土,0,1,0,在宅診療していただけます。,"https://www.google.com/maps/place/%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E3%81%8B%E3%81%95%E3%81%BE%E3%81%A4%E5%9C%A8%E5%AE%85%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.0487104,134.5515726,17z/data=!3m1!4b1!4m6!3m5!1s0x3553131de6d86fa3:0x8c6e6c645b777da0!8m2!3d34.048706!4d134.5541475!16s%2Fg%2F11nn15nj2x?entry=ttu"
79,01-27700 ,おおた在宅クリニック,〒770－0802徳島市吉野本町６丁目４２番地コレクティブハウスなじみ１０１,徳島市,088-656-3001,太田　敦,小児科,9:00~12:00,14:00~17:00,1,1,1,1,1,0,0,0,日・祝,土,0,0,0,在宅診療していただけます。,"https://www.google.com/maps/place/%E3%81%8A%E3%81%8A%E3%81%9F%E5%9C%A8%E5%AE%85%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.0870413,134.5504511,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d84173b5765:0x827ce6acecebd5e3!8m2!3d34.0870369!4d134.553026!16s%2Fg%2F11fb2yk7wm?entry=ttu"
80,01-27825 ,スリジエ子どもと大人のクリニック,〒770－0003徳島市北田宮２丁目７－７２,徳島市,088-631-0500,川原　和彦,小児科,9:00~12:00,15:00~17:30,1,1,1,1,1,1,0,0,日・祝,水・土（午後）,0,0,0,小さなお子さんからご高齢の方まで安心して通っていただける地域のかかりつけ医を目指されています。,"https://www.google.com/maps/place/%E3%82%B9%E3%83%AA%E3%82%B8%E3%82%A8%E5%AD%90%E3%81%A9%E3%82%82%E3%81%A8%E5%A4%A7%E4%BA%BA%E3%81%AE%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.088455,134.5421794,17z/data=!3m1!4b1!4m6!3m5!1s0x3553732c9248cfe3:0xf9605cd701d43348!8m2!3d34.0884506!4d134.5447543!16s%2Fg%2F11tdr4ybjw?entry=ttu"
